Team;Result;For;Aga;Diff;Tries;Conv;Pens;Drop;Opposition;Ground;Match.Date
Ireland;won;30;21;+9;3;3;3;0;v France;Croke Park;7 Feb 2009
Scotland;lost;13;26;-13;1;1;2;0;v Wales;Murrayfield;8 Feb 2009
Wales;won;26;13;+13;4;0;2;0;v Scotland;Murrayfield;8 Feb 2009
France;won;22;13;+9;1;1;5;0;v Scotland;Stade de France;14 Feb 2009
Scotland;lost;13;22;-9;1;1;2;0;v France;Stade de France;14 Feb 2009
England;lost;15;23;-8;2;1;0;1;v Wales;Millennium Stadium;14 Feb 2009
Wales;won;23;15;+8;1;0;6;0;v England;Millennium Stadium;14 Feb 2009
Ireland;won;38;9;+29;5;5;1;0;v Italy;Rome;15 Feb 2009
Italy;lost;9;38;-29;0;0;3;0;v Ireland;Rome;15 Feb 2009
France;won;21;16;+5;2;1;3;0;v Wales;Stade de France;27 Feb 2009
Wales;lost;16;21;-5;1;1;3;0;v France;Stade de France;27 Feb 2009
Italy;lost;6;26;-20;0;0;1;1;v Scotland;Murrayfield;28 Feb 2009
Scotland;won;26;6;+20;2;2;4;0;v Italy;Murrayfield;28 Feb 2009
England;lost;13;14;-1;1;1;2;0;v Ireland;Croke Park;28 Feb 2009
Ireland;won;14;13;+1;1;0;2;1;v England;Croke Park;28 Feb 2009
Italy;lost;15;20;-5;0;0;5;0;v Wales;Rome;14 Mar 2009
Wales;won;20;15;+5;2;2;2;0;v Italy;Rome;14 Mar 2009
Ireland;won;22;15;+7;1;1;4;1;v Scotland;Murrayfield;14 Mar 2009
Scotland;lost;15;22;-7;0;0;5;0;v Ireland;Murrayfield;14 Mar 2009
England;won;34;10;+24;5;3;1;0;v France;Twickenham;15 Mar 2009
France;lost;10;34;-24;2;0;0;0;v England;Twickenham;15 Mar 2009
France;won;50;8;+42;7;3;3;0;v Italy;Rome;21 Mar 2009
Italy;lost;8;50;-42;1;0;1;0;v France;Rome;21 Mar 2009
England;won;26;12;+14;3;1;2;1;v Scotland;Twickenham;21 Mar 2009
Scotland;lost;12;26;-14;0;0;4;0;v England;Twickenham;21 Mar 2009
Ireland;won;17;15;+2;2;2;0;1;v Wales;Millennium Stadium;21 Mar 2009
